news_id,ticker,title,sapo,publish_time,Target_Date,open,high,low,close,volume
232,VIC,"Nhóm ngân hàng vẫn bị bán mạnh, VIC xanh và VHC tăng trần, cùng chinh phục đỉnh giá mới","Nhóm ngân hàng vẫn bị chốt lời mạnh. BID giảm tới 4,4%, lùi về 42.350 đồng. Các cổ phiếu khác cũng giảm trên dưới 3%.",2018-03-23 15:21:00,2018-03-24,40.41,43.02,39.86,41.81,4681960.0
231,VIC,"VN-Index tăng hơn 17 điểm nhờ VIC, BID, MSN, ROS",Giao dịch đột biến đáng chú ý có VGT với giao dịch thỏa thuận rất lớn. Khối ngoại mua 50 triệu cổ phiếu VGT.,2018-03-26 15:16:00,2018-03-27,42.98,43.28,41.48,41.51,3149210.0
230,VIC,"Khối ngoại trở lại mua ròng hơn 150 tỷ trong phiên 28/3, tập trung “gom hàng” VHC, VIC","VHC là cổ phiếu được khối ngoại mua ròng nhiều nhất phiên với 67,98 tỷ đồng. Trong phiên hôm nay, VHC giao dịch khá tích cực khi tăng 1.300 đồng (2%) lên 64.800 đồng.",2018-03-28 16:12:00,2018-03-29,42.06,42.43,41.7,42.25,1580300.0
229,VIC,"Cổ phiếu bất động sản hút tiền, VIC, MSN cùng lập đỉnh mới giúp VnIndex tăng hơn 7 điểm","Tuy vậy, các cổ phiếu ngành tài chính, ngân hàng như VPB, BID, CTG, VCB, HDB…hầu hết đều giảm điểm. Phía tăng điểm đáng chú ý có ACB, cũng như các cổ phiếu ngành chứng khoán VND, MBS, HCM…",2018-03-30 15:09:00,2018-03-31,43.61,45.74,43.35,45.19,2458390.0
757,HAG,HAG và KHA bị đưa vào danh sách chứng khoán không được giao dịch ký quỹ,Nâng tổng số mã chứng khoán không được giao dịch ý quỹ trên sàn HoSE lên 72 doanh nghiệp.,2018-04-03 15:34:00,2018-04-04,6.3,6.43,6.27,6.3,5497020.0
228,VIC,"VIC và VNM “cứu” thị trường, VnIndex gặp khó trước kháng cự tâm lý 1.200 điểm","Trong phiên chiều nay, các nhóm cổ phiếu “hot” thời gian qua như chứng khoán, ngân hàng chịu áp lực điều chỉnh khá mạnh và hầu hết đều giảm điểm. Phía tăng điểm đáng chú ý có HDB, LPB, VDS, MBS…",2018-04-04 15:04:00,2018-04-05,48.49,48.86,47.65,48.13,3190050.0
226,VIC,VCSC: Bất động sản và cho thuê mặt bằng bán lẻ của VIC sẽ dẫn dắt tăng trưởng,"VCSC kỳ vọng, VinCity dự kiến sẽ thực hiện trong quý II với 4 dự án với hàng trăm ha sẽ hỗ trợ cho giá trị hợp đồng bán BĐS 2018 của VIC đạt 89.000 tỷ đồng, tăng 22% so với 2017.",2018-04-06 10:24:00,2018-04-06,47.76,48.68,47.65,48.64,1954390.0
227,VIC,"VIC, BVH tiếp tục “phá đỉnh” giúp VnIndex giữ vững sắc xanh, dòng tiền tập trung vào cổ phiếu bất động sản","Nhóm ngân hàng có sự phân hóa khá mạnh, trong khi LPB, MBB, ACB tăng khá tốt thì các cổ phiếu “nóng” như BID, CTG, VPB…laị giảm khá sâu.",2018-04-05 15:17:00,2018-04-06,47.76,48.68,47.65,48.64,1954390.0
756,HAG,"HAG, DRL, MBB, TBD, NED, SDG, GDT, NDF, VNF, HTC, HIG, TDG, SP2, EBS: Thông tin giao dịch lượng lớn cổ phiếu",Thông tin giao dịch lượng lớn cổ phiếu trên HNX/HSX.,2018-04-06 07:56:00,2018-04-06,6.25,6.33,6.19,6.19,7068740.0
225,VIC,"VIC, VRE bứt phá không ngừng nghỉ, VnIndex tăng mạnh nhưng vẫn mất mốc 1.200 điểm vào “phút 90”","Nhóm bất động sản, xây dựng cũng có phiên giao dịch khởi sắc với nhiều mã tăng mạnh như CTD, DIG, DXG, FCN, HBC, LDG, LCG, NDN, QCG, VIC, VNE, NLG…",2018-04-06 15:14:00,2018-04-07,49.6,49.78,48.86,49.56,3209490.0
1184,TTF,"TTF, PDR, AAA, PDN, IME: Thông tin giao dịch lượng lớn cổ phiếu",Thông tin giao dịch lượng lớn cổ phiếu trên HNX/HSX.,2018-04-10 07:17:00,2018-04-10,6.5,6.5,6.1,6.18,133830.0
224,VIC,"VIC giảm gần 4.000 đồng, VN-Index chỉ giảm 0,5% nhờ đội ngũ ngân hàng, BVH và SAB, sàn HOSE khớp lệnh gần 8.000 tỷ đồng",HDB được khối ngoại mua ròng tích cực với khối lượng mua ròng gần 4 triệu đơn vị. Cổ phiếu này tăng gần 4%.,2018-04-10 15:10:00,2018-04-11,48.35,49.04,45.55,46.29,3216110.0
223,VIC,"Tín hiệu mua bán cổ phiếu: Tín hiệu đáng chú ý tại VIC, MSN, VJC, MWG, HDB","Các ngành và cổ phiếu mạnh hơn thị trường: Công nghệ (FPT +1,6%, DGW +5,4%), Ngân hàng (BID +2,5%, HDB +3,9%), Thủy sản (MPC +5,7%, SEA +0,6%).",2018-04-11 09:10:00,2018-04-11,48.35,49.04,45.55,46.29,3216110.0
755,HAG,"HAG, CEO, MPC, PAN, GTN, MTP, NED, VAF, IME, NDN, LM8, MCC: Thông tin giao dịch lượng lớn cổ phiếu",Thông tin giao dịch lượng lớn cổ phiếu trên HNX/HSX.,2018-04-11 19:35:00,2018-04-12,5.43,5.45,5.2,5.28,8267630.0
222,VIC,"VN-Index vượt lên mốc 1.170 ""thần thánh"" nhờ GAS, VIC, MSN, khối ngoại tiếp tục mua hơn 2 triệu cổ phiếu HDB","ROS tiếp diễn bài giảm sàn và hồi nhẹ. Trong phiên, ROS đã giảm xuống 99.700 đồng, tức mất mốc thị giá 100.000 đồng song về cuối phiên hồi nhẹ và đóng cửa ở con số tròn trĩnh 100.000 đồng.",2018-04-12 15:06:00,2018-04-13,47.02,47.98,46.66,46.88,2093210.0
221,VIC,"Phiên 12/4: Khối ngoại bán ròng hơn 60 tỷ trên HoSE, tập trung “xả” VIC, VCB","VIC đứng đầu danh sách bán ròng của khối ngoại với 171,91 tỷ đồng. Tuy vậy, cổ phiếu này vẫn có phiên giao dịch khá tốt khi tăng 1.000 đồng lên 127.000 đồng.",2018-04-12 16:27:00,2018-04-13,47.02,47.98,46.66,46.88,2093210.0
754,HAG,"REE, DLG, SMT, GDT, HAG, DRH, BID, ST8, QNS, SJF, IME, APF, RCC: Thông tin giao dịch lượng lớn cổ phiếu",Thông tin giao dịch lượng lớn cổ phiếu trên HNX/HSX.,2018-04-14 08:31:00,2018-04-14,5.48,5.82,5.38,5.7,6149530.0
220,VIC,"Phiên 17/4: Khối ngoại bán ròng hơn 230 tỷ trên toàn thị trường, tập trung ""xả"" VNM, VIC","VNM là cổ phiếu bị khối ngoại bán ròng khá mạnh với 88,83 tỷ đồng. Trong phiên hôm nay, VNM tiếp tục giảm sâu 5.500 đồng (2,9%) xuống 184.500 đồng.",2018-04-17 16:14:00,2018-04-18,48.13,48.49,47.72,47.72,2306360.0
753,HAG,"VJC, VNM, HAG, APS, VIX, ATA, VIS, NED, NDN, VSA, VE9, S55: Thông tin giao dịch lượng lớn cổ phiếu",Thông tin giao dịch lượng lớn cổ phiếu trên HNX/HSX.,2018-04-25 08:25:00,2018-04-25,5.54,5.69,5.4,5.4,3775820.0
219,VIC,"VIC giao dịch gần 1.100 tỷ đồng, cổ phiếu dầu khí đỡ thị trường","VIC trở thành cổ phiếu có khối lượng lớn nhất trên sàn HOSE hôm nay, giá trị giao dịch đạt gần 1.100 tỷ đồng – chiếm 17% giá trị giao dịch sàn HOSE. Khối ngoại bán tới 4,45 triệu cổ phiếu này.",2018-04-24 15:10:00,2018-04-25,46.58,46.66,45.15,46.66,6434440.0
752,HAG,Cổ phiếu HAG vào diện bị cảnh báo,"Lý do là công ty kiểm toán có ý kiến ngoại trừ trên báo cáo tài chính hợp nhất năm 2017, cổ phiếu thuộc trường hợp bị cảnh báo theo quy định.",2018-04-27 09:03:00,2018-04-27,5.4,5.45,5.09,5.3,4734660.0
1183,TTF,"Phó Chủ tịch Gỗ Trường Thành: ""Chúng tôi hiểu cảm giác của cổ đông nhưng “cơ thể” của TTF sẽ còn phải trải qua những đau đớn nhất định""","""Cơ thể này sẽ còn phải trải qua những đau đớn nhất định. Chúng tôi hiểu cảm giác của cổ đông khi nhìn thấy giá cổ phiếu. Chúng tôi khẳng định TTF chỉ có thể vươn lên mạnh mẽ khi xử lý hết các vấn đề của 2018"" ông Tín nói.",2018-04-29 08:00:00,2018-04-29,5.46,5.46,4.8,4.8,502410.0
